Date,Time,Open,High,Low,Close,Volume
20030505,00:00:00,1.60294,1.60751,1.60148,1.60587,129661073770
20030506,00:00:00,1.60584,1.61860,1.60462,1.61343,134184056900
20030507,00:00:00,1.61275,1.61610,1.59017,1.59591,134451522090
20030508,00:00:00,1.59591,1.60773,1.59200,1.60126,133992227020
20030509,00:00:00,1.60135,1.60934,1.60019,1.60370,135567353830
20030512,00:00:00,1.60532,1.61429,1.60362,1.60879,136170596970
20030513,00:00:00,1.60870,1.61148,1.60399,1.60875,135768023890
20030514,00:00:00,1.60884,1.62087,1.60612,1.61729,135070977260
20030515,00:00:00,1.61725,1.62734,1.61230,1.62102,134756685720
20030516,00:00:00,1.62062,1.62908,1.61772,1.62247,134406184790
20030519,00:00:00,1.62542,1.63768,1.62477,1.63276,135533164100
20030520,00:00:00,1.63278,1.64303,1.63033,1.64155,134975740720
20030521,00:00:00,1.64138,1.64641,1.63492,1.63604,134617019760
20030522,00:00:00,1.63609,1.63906,1.63116,1.63458,133934039840
20030523,00:00:00,1.63414,1.64481,1.63073,1.63572,134462496870
20030526,00:00:00,1.63191,1.64139,1.63190,1.63704,134627426990
20030527,00:00:00,1.63690,1.64650,1.63672,1.63771,135960647970
20030528,00:00:00,1.63760,1.64344,1.63074,1.63908,133465844100
20030529,00:00:00,1.63916,1.65447,1.63175,1.65209,134898381210
20030530,00:00:00,1.65175,1.65455,1.63477,1.63521,136221547920
20030602,00:00:00,1.63000,1.63938,1.62504,1.63704,126638148200
20030603,00:00:00,1.63702,1.64208,1.62294,1.62778,134796733830
20030604,00:00:00,1.62780,1.63416,1.62713,1.63026,136947823910
20030605,00:00:00,1.63002,1.66183,1.62814,1.65850,133865780920
20030606,00:00:00,1.65838,1.67084,1.65418,1.66156,135227179900
20030609,00:00:00,1.65956,1.66528,1.64243,1.64374,136420740940
20030610,00:00:00,1.64354,1.65736,1.64117,1.65155,134684881180
20030611,00:00:00,1.65149,1.66977,1.64921,1.66638,135267479610
20030612,00:00:00,1.66617,1.67870,1.66491,1.66788,135079973730
20030613,00:00:00,1.66790,1.67456,1.66308,1.67211,135730256820
20030616,00:00:00,1.67222,1.68792,1.67066,1.67672,136865707110
20030617,00:00:00,1.67631,1.68989,1.67528,1.68432,135474067070
20030618,00:00:00,1.68426,1.68617,1.67491,1.67835,134016127960
20030619,00:00:00,1.67827,1.68035,1.66849,1.67846,133868987640
20030620,00:00:00,1.67850,1.68195,1.65808,1.66096,134244464170
20030623,00:00:00,1.66200,1.66930,1.65535,1.66702,134099218070
20030624,00:00:00,1.66705,1.67038,1.65871,1.66406,135706478060
20030625,00:00:00,1.66406,1.67952,1.66049,1.67143,135382702030
20030626,00:00:00,1.67161,1.67425,1.65913,1.66029,135104141200
20030627,00:00:00,1.66024,1.66298,1.64505,1.64838,135869064920
20030630,00:00:00,1.64837,1.65676,1.64537,1.65488,135371040970
20030701,00:00:00,1.65504,1.66501,1.65144,1.66208,133292644780
20030702,00:00:00,1.66184,1.66671,1.65997,1.66284,134504767290
20030703,00:00:00,1.66415,1.67394,1.66007,1.66781,134676718170
20030704,00:00:00,1.66759,1.67161,1.66467,1.66585,134423321950
20030707,00:00:00,1.66711,1.66746,1.64707,1.64935,134400386880
20030708,00:00:00,1.64920,1.65006,1.63136,1.63517,133621893880
20030709,00:00:00,1.63511,1.63782,1.62742,1.63703,136946727180
20030710,00:00:00,1.63726,1.63874,1.62169,1.63499,134147963950
20030711,00:00:00,1.63482,1.63803,1.62969,1.62989,133878923930
20030714,00:00:00,1.63013,1.63074,1.61210,1.61237,136164927040
20030715,00:00:00,1.61254,1.61452,1.58983,1.59199,133882300760
20030716,00:00:00,1.59166,1.59625,1.58527,1.59525,134579289970
20030717,00:00:00,1.59527,1.59907,1.58440,1.59569,135466996060
20030718,00:00:00,1.59556,1.59796,1.58237,1.58915,134944333950
20030721,00:00:00,1.58953,1.60223,1.57715,1.59972,136521550990
20030722,00:00:00,1.59954,1.60480,1.59454,1.59699,131572413820
20030723,00:00:00,1.59683,1.60980,1.59241,1.60768,133519130920
20030724,00:00:00,1.60808,1.61579,1.60571,1.61518,133007070950
20030725,00:00:00,1.61552,1.62338,1.61117,1.62009,136375890950
20030728,00:00:00,1.61921,1.62871,1.61697,1.62527,135595487880
20030729,00:00:00,1.62500,1.63084,1.62107,1.62375,134507377040
20030730,00:00:00,1.62361,1.62498,1.61451,1.61524,134534497990
20030731,00:00:00,1.61555,1.61700,1.60485,1.60933,133828121240
20030801,00:00:00,1.60939,1.61225,1.60006,1.60761,129063920930
20030804,00:00:00,1.61050,1.61487,1.60621,1.61098,134862487120
20030805,00:00:00,1.61079,1.61592,1.60201,1.61504,134400074010
20030806,00:00:00,1.61504,1.61852,1.60329,1.60873,134311903810
20030807,00:00:00,1.60855,1.61876,1.60501,1.61772,136396887030
20030808,00:00:00,1.61769,1.61861,1.60057,1.60253,134741474930
20030811,00:00:00,1.60378,1.61013,1.59799,1.60720,157652806890
20030812,00:00:00,1.60695,1.60920,1.59902,1.60194,156357608890
20030813,00:00:00,1.60196,1.60951,1.59623,1.60756,162216905950
20030814,00:00:00,1.60754,1.61349,1.59812,1.60130,151984364270
20030815,00:00:00,1.60104,1.60398,1.59237,1.59660,157088634870
20030818,00:00:00,1.59630,1.59839,1.58701,1.59053,153954750970
20030819,00:00:00,1.59072,1.59125,1.58072,1.58678,148956487110
20030820,00:00:00,1.58730,1.59643,1.58510,1.59375,156032033790
20030821,00:00:00,1.59361,1.59565,1.57441,1.57802,159277007120
20030822,00:00:00,1.57796,1.57933,1.57003,1.57473,156656269130
20030825,00:00:00,1.57356,1.57901,1.56807,1.57085,152000640960
20030826,00:00:00,1.57081,1.57448,1.56169,1.56790,156830678800
20030827,00:00:00,1.56771,1.57491,1.56656,1.57138,157942194090
20030828,00:00:00,1.57121,1.57843,1.56472,1.57753,153399373890
20030829,00:00:00,1.57743,1.58257,1.57199,1.57732,155698222010
20030901,00:00:00,1.57718,1.58103,1.56778,1.57039,128658177050
20030902,00:00:00,1.57025,1.57474,1.56172,1.56685,166142580900
20030903,00:00:00,1.56658,1.57622,1.56062,1.57053,163936157990
20030904,00:00:00,1.57041,1.58245,1.56660,1.58199,157623991110
20030905,00:00:00,1.58200,1.59079,1.57759,1.58774,157256301970
20030908,00:00:00,1.58830,1.59009,1.58155,1.58248,155427074000
20030909,00:00:00,1.58246,1.59272,1.57820,1.59023,156560542950
20030910,00:00:00,1.59022,1.59447,1.58646,1.59157,155968701140
20030911,00:00:00,1.59139,1.59752,1.58945,1.59501,153810468280
20030912,00:00:00,1.59511,1.60665,1.59068,1.60218,154998655820
20030915,00:00:00,1.60282,1.60749,1.59965,1.60061,154805947950
20030916,00:00:00,1.60026,1.60548,1.58491,1.58714,156827753840
20030917,00:00:00,1.58696,1.60986,1.58582,1.60907,155563638200
20030918,00:00:00,1.60900,1.62138,1.60617,1.61728,159957220820
20030919,00:00:00,1.61714,1.63741,1.61382,1.63651,153372440980
20030922,00:00:00,1.64634,1.65485,1.64115,1.64935,163894916940
20030923,00:00:00,1.64912,1.65856,1.64537,1.65082,153007640090
20030924,00:00:00,1.65060,1.65995,1.64698,1.65905,158645757960
20030925,00:00:00,1.65896,1.66276,1.65230,1.65869,162869175010
20030926,00:00:00,1.65869,1.66236,1.65578,1.65870,158572694850
20030929,00:00:00,1.65740,1.66725,1.64478,1.66666,154932610800
20030930,00:00:00,1.66662,1.67576,1.65848,1.66101,163053494890
20031001,00:00:00,1.66103,1.66944,1.65297,1.66842,156257077670
20031002,00:00:00,1.66812,1.67496,1.66350,1.67030,162015036820
20031003,00:00:00,1.66980,1.67350,1.65778,1.66327,153311360790
20031006,00:00:00,1.66222,1.67562,1.65783,1.66908,149959304050
20031007,00:00:00,1.66904,1.67764,1.66055,1.66230,181967165620
20031008,00:00:00,1.66220,1.66702,1.65851,1.66225,156020708090
20031009,00:00:00,1.66207,1.66927,1.65583,1.66598,159330467860
20031010,00:00:00,1.66561,1.67193,1.66011,1.66317,153972843760
20031013,00:00:00,1.66400,1.66844,1.65341,1.66589,140015545010
20031014,00:00:00,1.66583,1.67637,1.65361,1.67141,153607550840
20031015,00:00:00,1.67131,1.67630,1.66356,1.66716,154467734840
20031016,00:00:00,1.66705,1.68135,1.66523,1.67257,153804712020
20031017,00:00:00,1.67238,1.67874,1.66750,1.67826,157374828050
20031020,00:00:00,1.67840,1.68118,1.66974,1.67073,150886021110
20031021,00:00:00,1.67028,1.67723,1.66826,1.67419,155268811000
20031022,00:00:00,1.67397,1.69422,1.67257,1.69091,158904628790
20031023,00:00:00,1.69085,1.69660,1.68893,1.69471,158202271100
20031024,00:00:00,1.69460,1.69931,1.69299,1.69447,155314084980
20031027,00:00:00,1.69485,1.69746,1.69049,1.69421,161048644000
20031028,00:00:00,1.69445,1.69962,1.68744,1.69637,163005887070
20031029,00:00:00,1.69626,1.70754,1.69521,1.69751,160571751950
20031030,00:00:00,1.69755,1.70690,1.69452,1.69503,158166180490
20031031,00:00:00,1.69516,1.69928,1.69039,1.69595,166877247990
20031103,00:00:00,1.69443,1.69755,1.67518,1.67548,151111923820
20031104,00:00:00,1.67540,1.68429,1.66710,1.67981,159939271140
20031105,00:00:00,1.67970,1.68712,1.66982,1.67403,163903727110
20031106,00:00:00,1.67390,1.67814,1.66420,1.66799,161294173770
20031107,00:00:00,1.66798,1.67638,1.65663,1.67607,156792040890
20031110,00:00:00,1.67365,1.67551,1.66963,1.67098,153354334890
20031111,00:00:00,1.67080,1.67101,1.66300,1.66515,158811506900
20031112,00:00:00,1.66510,1.67829,1.66414,1.67337,163978927920
20031113,00:00:00,1.67375,1.68848,1.67296,1.68685,157236344860
20031114,00:00:00,1.68685,1.69082,1.68208,1.68774,160269851940
20031117,00:00:00,1.68757,1.69366,1.68593,1.69151,159001592950
20031118,00:00:00,1.69157,1.70538,1.68617,1.70418,168212140960
20031119,00:00:00,1.70336,1.70529,1.69480,1.69666,160184574080
20031120,00:00:00,1.69687,1.70772,1.69583,1.70418,163576083850
20031121,00:00:00,1.70445,1.70672,1.69921,1.70455,161684493940
20031124,00:00:00,1.70463,1.70579,1.69267,1.69642,155421293860
20031125,00:00:00,1.69651,1.70156,1.69349,1.69841,167046780790
20031126,00:00:00,1.69847,1.71266,1.69466,1.71187,165414230770
20031127,00:00:00,1.71185,1.71564,1.70871,1.71335,151673196720
20031128,00:00:00,1.71360,1.72386,1.71282,1.72148,157017586920
20031201,00:00:00,1.72013,1.72724,1.71763,1.72049,161815303900
20031202,00:00:00,1.71966,1.73069,1.71651,1.72945,158633684860
20031203,00:00:00,1.72928,1.73181,1.72429,1.72788,161776715920
20031204,00:00:00,1.72819,1.72843,1.71749,1.72157,160342567900
20031205,00:00:00,1.72151,1.73141,1.71912,1.72927,159025919830
20031208,00:00:00,1.72955,1.73590,1.72643,1.73285,160873594200
20031209,00:00:00,1.73278,1.74728,1.73252,1.74659,157787180870
20031210,00:00:00,1.74650,1.74751,1.73492,1.74251,162384356840
20031211,00:00:00,1.74263,1.74715,1.73721,1.74514,158460564240
20031212,00:00:00,1.74498,1.75075,1.74257,1.74545,157524630960
20031215,00:00:00,1.73586,1.74779,1.73524,1.74690,160280000120
20031216,00:00:00,1.74671,1.75588,1.74306,1.75470,160753167820
20031217,00:00:00,1.75465,1.76939,1.74947,1.76643,157980186260
20031218,00:00:00,1.76657,1.77402,1.76292,1.77368,167538490850
20031219,00:00:00,1.77343,1.77382,1.76131,1.76484,162736958060
20031222,00:00:00,1.76689,1.76689,1.75968,1.76263,160616596940
