DateTime,Open,High,Low,Close
20031023 07:00:00,385.39,387.21,381.88,383.50
20031024 07:00:00,383.74,391.83,383.09,387.99
20031027 07:00:00,387.50,388.06,384.71,387.47
20031028 07:00:00,387.08,387.78,381.51,381.96
20031029 07:00:00,382.13,387.02,378.99,385.81
20031030 07:00:00,385.76,390.96,381.26,382.70
20031031 07:00:00,382.58,388.61,380.87,383.62
20031103 07:00:00,383.61,384.65,375.45,375.81
20031104 07:00:00,375.99,380.50,375.66,378.98
20031105 07:00:00,378.74,384.00,377.99,380.70
20031106 07:00:00,380.69,383.50,378.35,379.50
20031107 07:00:00,379.50,383.14,375.08,382.60
20031110 07:00:00,382.49,386.89,381.68,385.29
20031111 07:00:00,385.50,388.30,384.73,387.50
20031112 07:00:00,387.30,395.80,386.32,393.60
20031113 07:00:00,393.38,397.10,391.99,394.19
20031114 07:00:00,393.75,398.70,393.09,397.02
20031117 07:00:00,396.32,398.74,385.30,390.59
20031118 07:00:00,390.33,398.30,389.43,398.08
20031119 07:00:00,398.30,400.05,391.77,394.31
20031120 07:00:00,394.60,396.70,390.98,394.00
20031121 07:00:00,393.77,397.50,391.84,395.60
20031124 07:00:00,395.24,395.94,389.31,390.73
20031125 07:00:00,391.00,392.70,388.59,390.26
20031126 07:00:00,390.80,400.30,389.82,395.62
20031127 07:00:00,395.92,396.80,394.28,394.49
20031128 07:00:00,394.80,398.60,393.74,397.70
20031201 07:00:00,397.10,402.97,395.85,401.24
20031202 07:00:00,401.49,405.39,398.17,402.52
20031203 07:00:00,402.45,404.39,400.28,404.05
20031204 07:00:00,403.83,404.50,398.83,401.84
20031205 07:00:00,402.30,406.10,398.79,405.62
20031208 07:00:00,405.38,408.87,403.94,406.44
20031209 07:00:00,406.24,409.10,404.68,407.80
20031210 07:00:00,407.37,411.60,404.09,404.79
20031211 07:00:00,404.93,406.10,401.57,404.32
20031212 07:00:00,404.50,409.00,403.61,408.40
20031215 07:00:00,408.20,410.30,400.77,409.00
20031216 07:00:00,409.36,410.00,405.76,406.52
20031217 07:00:00,406.41,412.60,405.74,412.10
20031218 07:00:00,411.88,412.20,406.63,410.05
20031219 07:00:00,410.05,410.80,406.56,408.90
20031222 07:00:00,408.90,411.13,406.80,409.11
20031223 07:00:00,409.13,410.70,407.87,409.82
20031224 07:00:00,410.20,412.25,409.44,411.60
20031225 07:00:00,411.23,411.60,410.87,411.36
20031226 07:00:00,411.19,412.80,409.65,411.38
20031229 07:00:00,411.41,415.10,410.84,413.81
20031230 07:00:00,413.45,416.70,413.29,415.80
20031231 07:00:00,415.80,417.30,413.20,415.39
20040101 07:00:00,415.02,415.40,414.25,414.64
20040102 07:00:00,414.89,416.10,413.87,415.39
20040105 07:00:00,414.28,423.98,414.10,422.94
20040106 07:00:00,423.20,430.18,420.08,421.90
20040107 07:00:00,421.42,424.12,418.97,419.57
20040108 07:00:00,420.10,424.80,416.27,423.30
20040109 07:00:00,423.01,426.90,419.43,425.40
20040112 07:00:00,426.50,428.46,422.22,424.00
20040113 07:00:00,424.03,426.39,421.65,423.45
20040114 07:00:00,423.70,424.40,416.78,419.11
20040115 07:00:00,419.09,421.10,406.91,407.88
20040116 07:00:00,408.30,410.40,404.43,406.30
20040119 07:00:00,405.84,408.68,405.40,406.80
20040120 07:00:00,406.61,412.70,404.42,411.97
20040121 07:00:00,412.18,412.91,406.72,410.00
20040122 07:00:00,409.67,412.70,407.22,408.90
20040123 07:00:00,408.90,412.30,405.46,407.40
20040126 07:00:00,407.40,408.62,402.93,403.32
20040127 07:00:00,403.53,411.70,402.00,409.60
20040128 07:00:00,409.63,414.47,406.94,409.38
20040129 07:00:00,409.82,410.79,395.81,398.76
20040130 07:00:00,398.49,402.18,397.60,401.83
20040202 07:00:00,401.73,403.15,393.54,397.41
20040203 07:00:00,397.89,403.11,397.39,399.20
20040204 07:00:00,398.82,400.58,397.71,400.30
20040205 07:00:00,400.30,400.47,396.01,396.50
20040206 07:00:00,396.17,405.88,393.74,402.55
20040209 07:00:00,402.67,407.07,401.38,405.84
20040210 07:00:00,406.10,409.69,405.01,405.31
20040211 07:00:00,405.79,411.60,403.98,410.73
20040212 07:00:00,410.57,413.40,408.98,411.41
20040213 07:00:00,411.15,416.44,405.85,409.32
20040216 07:00:00,409.47,411.29,408.67,410.93
20040217 07:00:00,411.20,415.48,409.98,414.85
20040218 07:00:00,415.09,416.24,408.74,410.07
20040219 07:00:00,410.17,412.16,406.93,409.36
20040220 07:00:00,409.29,411.07,393.37,396.86
20040223 07:00:00,397.70,399.81,395.40,397.82
20040224 07:00:00,398.19,404.10,397.04,402.92
20040225 07:00:00,403.40,403.90,393.21,395.24
20040226 07:00:00,395.36,397.20,389.96,394.60
